Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,61.66703,(-0.04* 0.99* -0.10),(-0.90* 0.44* -0.01),-9.156158,(0.26* 0.97* 0.02),(0.10* 0.99* 0.04),(276.13* 202.94* 160.03)
Left,2,63.61315,(-0.05* 0.99* -0.10),(-0.92* 0.40* -0.01),-8.182302,(0.24* 0.97* -0.01),(0.10* 0.99* 0.03),(276.13* 202.94* 160.03)
Left,3,58.62095,(-0.07* 0.99* -0.13),(-0.89* 0.46* -0.02),-7.11709,(0.21* 0.98* 0.00),(0.09* 1.00* 0.04),(276.13* 202.94* 160.03)
Down,1,75.42847,(-0.08* 0.99* -0.12),(0.06* 0.37* 0.93),-8.21824,(0.22* 0.98* 0.02),(0.31* 0.94* 0.12),(276.13* 202.94* 160.03)
Down,2,84.78329,(-0.04* 0.99* -0.15),(0.05* 0.24* 0.97),-9.151822,(0.28* 0.96* 0.09),(0.33* 0.91* 0.24),(276.13* 202.94* 160.03)
Down,3,47.75477,(-0.07* 0.99* -0.16),(0.00* 0.78* 0.62),-5.562007,(0.29* 0.95* 0.13),(0.32* 0.92* 0.21),(276.13* 202.94* 160.03)
Right,1,-69.63462,(-0.05* 0.99* -0.14),(0.92* 0.39* -0.11),5.136447,(0.27* 0.96* 0.09),(0.36* 0.93* 0.08),(276.13* 202.94* 160.03)
Right,2,-62.61509,(0.00* 0.99* -0.12),(0.89* 0.45* -0.09),-5.526979,(0.28* 0.96* 0.03),(0.35* 0.93* 0.08),(276.13* 202.94* 160.03)
Right,3,-44.78779,(-0.01* 0.99* -0.10),(0.69* 0.71* -0.13),-3.253775,(0.28* 0.96* 0.04),(0.33* 0.94* 0.06),(276.13* 202.94* 160.03)
Up,1,44.45855,(0.00* 0.99* -0.11),(-0.06* 0.63* -0.77),-2.862591,(0.28* 0.96* 0.05),(0.27* 0.96* 0.10),(276.13* 202.94* 160.03)
Up,2,-41.05449,(-0.04* 0.99* -0.12),(-0.05* 0.67* -0.74),-1.545477,(0.26* 0.96* 0.04),(0.27* 0.96* 0.07),(276.13* 202.94* 160.03)
Up,3,-39.61245,(-0.05* 0.99* -0.11),(-0.04* 0.69* -0.72),-1.995668,(0.27* 0.96* 0.03),(0.26* 0.96* 0.07),(276.13* 202.94* 160.03)
