Direction,tCount,Time,HeadPitch,HeadYaw,HeadRoll,BodyPitch,BodyYaw,BodyRoll
Left,1,11.70538,-1.897645,-2.875078,1.371593,1.170359,-0.08622923,0.1988102
Left,1,11.78089,-1.893722,-2.87283,1.372591,1.150801,-0.09065409,0.1958353
Left,1,11.80847,-1.88128,-2.860334,1.377856,1.125179,-0.09487279,0.1938267
Left,1,11.84008,-1.873566,-2.85156,1.381827,1.102694,-0.09691329,0.1907741
Left,1,11.86627,-1.868127,-2.844343,1.384232,1.085524,-0.09691329,0.191797
Left,1,11.88884,-1.864037,-2.838694,1.385363,1.069909,-0.1027921,0.1958353
Left,1,11.91711,-1.855724,-2.856567,1.367306,1.038728,-0.1083524,0.1988102
Left,1,11.94504,-1.847692,-2.8778,1.349297,1.014521,-0.1119058,0.2027088
Left,1,11.96535,-1.845148,-2.886697,1.342318,1.005026,-0.1136409,0.2046302
Left,1,11.98725,-1.84345,-2.894688,1.337205,0.9952432,-0.1136409,0.2065338
Left,1,12.00788,-1.841963,-2.901308,1.332808,0.987149,-0.1153499,0.2065338
Left,1,12.03513,-1.839305,-2.905758,1.330457,0.9783881,-0.1119058,0.20842
Left,1,12.05948,-1.836536,-2.892658,1.338376,0.9711614,-0.1083524,0.2112177
Left,1,12.08381,-1.824777,-2.866282,1.349297,0.9659084,-0.1008706,0.2139789
Left,1,12.11793,-1.800811,-2.819528,1.359555,0.9505931,-0.09065409,0.2185032
Left,1,12.13874,-1.791112,-2.800301,1.355808,0.9437756,-0.08622923,0.2229358
Left,1,12.16731,-1.77001,-2.763784,1.340275,0.8987461,-0.06255726,0.2365626
Left,1,12.19531,-1.75156,-2.720094,1.328101,0.854092,-0.03956468,0.249446
Left,1,12.22307,-1.733929,-2.654022,1.314327,0.8277984,-0.01978234,0.2609472
Left,1,12.25074,-1.728164,-2.554509,1.280847,0.8613922,-0.01978234,0.2705197
Left,1,12.27091,-1.718397,-2.492536,1.256788,0.8771496,-0.01978234,0.2741124
Left,1,12.29283,-1.694775,-2.392283,1.2321,0.8713301,-0.02797646,0.2748253
Left,1,12.32037,-1.633387,-2.163018,1.171863,0.8641139,-0.02797646,0.2783625
Left,1,12.34944,-1.570971,-1.899089,1.098783,0.858206,-0.01978234,0.2839303
Left,1,12.37619,-1.509088,-1.610462,1.021825,0.8469599,-0.01978234,0.2900664
Left,1,12.40384,-1.472596,-1.249605,0.9801866,0.8494976,0,0.3019647
Left,1,12.42432,-1.450909,-1.055918,0.9532654,0.8444148,0.01978234,0.309643
Left,1,12.44612,-1.418169,-0.8081825,0.8913127,0.8439512,0.04845664,0.3189811
Left,1,12.47315,-1.357106,-0.3071049,0.7677034,0.8453411,0.09278741,0.3374619
Left,1,12.50135,-1.281458,0.2609472,0.6561096,0.8566085,0.1412742,0.360452
Left,1,12.52934,-1.222053,0.8729007,0.5135812,0.8913127,0.1907741,0.3886621
Left,1,12.55714,-1.150971,1.551417,0.3743001,0.9431533,0.2462884,0.4177785
Left,1,12.5986,-1.024693,2.382692,0.1791368,1.020867,0.3226406,0.453703
Left,1,12.62683,-0.9037398,3.385702,-0.05595291,1.091278,0.4140146,0.4893896
Left,1,12.65433,-0.8888945,4.434249,-0.3238513,1.148247,0.5043544,0.5192646
Left,1,12.68239,-0.9102123,5.501176,-0.6029587,1.196485,0.5924829,0.5432066
Left,1,12.71017,-1.022399,6.637081,-0.9037398,1.217079,0.6786853,0.5539077
Left,1,12.73073,-1.091815,7.237198,-1.030976,1.215792,0.717643,0.5535544
Left,1,12.75176,-1.206421,7.928874,-1.197303,1.212085,0.7582139,0.5500081
Left,1,12.78212,-1.419824,9.198085,-1.475915,1.202359,0.8604831,0.5370479
Left,1,12.80861,-1.603399,10.43969,-1.700308,1.243797,1.005221,0.5355885
Left,1,12.83491,-1.770673,11.48938,-1.883983,1.307011,1.163148,0.5337587
Left,1,12.86157,1.866659,12.44561,-1.980606,1.345666,1.365014,0.509757
Left,1,12.88181,1.915915,12.89232,-2.021101,1.362,1.462997,0.4965344
Left,1,12.90393,1.953745,13.37581,-2.040184,1.358691,1.626784,0.4764233
Left,1,12.93104,2.038073,14.23022,-2.084126,1.343046,1.936641,0.4320539
Left,1,12.95945,2.095551,14.9633,-2.124122,1.329279,2.237384,0.382573
Left,1,12.98703,2.11831,15.70029,-2.123385,1.29528,2.517228,0.3374619
Left,1,13.01516,2.161026,16.42307,-2.120157,1.284509,2.768313,0.2973941
Left,1,13.05765,2.208683,17.08201,-2.127161,1.237488,3.020123,0.2390311
Left,1,13.08522,2.213816,17.69639,-2.086848,1.206096,3.228527,0.1607126
Left,1,13.11216,2.208328,18.12761,-2.094804,1.167514,3.468708,0.07661668
Left,1,13.14075,2.167357,18.48813,-2.047844,1.129692,3.713991,0
Left,1,13.16821,2.143202,18.81823,-1.999097,1.104467,3.90871,-0.0656106
Left,1,13.18844,2.13625,18.96239,-1.982088,1.088045,3.998803,-0.1008706
Left,1,13.20976,2.133041,19.11368,-1.972289,1.071371,4.094047,-0.1412742
Left,1,13.23767,2.124952,19.40507,-1.96264,1.073743,4.264205,-0.1938267
Left,1,13.2654,2.138173,19.66921,-2.007109,1.097357,4.443163,-0.2264194
Left,1,13.29299,2.178885,19.96382,-2.077542,1.132806,4.610189,-0.2382111
Left,1,13.32133,2.241841,20.30929,-2.185343,1.164325,4.764688,-0.2478722
Left,1,13.34176,2.281476,20.49819,-2.23397,1.181177,4.839384,-0.2430897
Left,1,13.36392,2.329694,20.75319,-2.290038,1.200567,4.935783,-0.2414744
Left,1,13.39003,2.422689,21.25952,-2.406965,1.23448,5.111555,-0.2390311
Left,1,13.41824,2.495597,21.73274,-2.495597,1.25523,5.256467,-0.2446942
Left,1,13.44701,2.587323,22.12767,-2.63745,1.272417,5.381429,-0.2502292
Left,1,13.47383,2.667191,22.51725,-2.754135,1.298298,5.511356,-0.2462884
Left,1,13.49465,2.695879,22.72841,-2.79155,1.311942,5.582968,-0.2438933
Left,1,13.51603,2.727783,22.94908,-2.825285,1.291952,5.666419,-0.2564087
Left,1,13.54393,2.784529,23.34036,-2.87746,1.267023,5.802114,-0.2825486
Left,1,13.57106,2.825008,23.7067,-2.901578,1.289223,5.949001,-0.2967354
Left,1,13.59887,2.854236,24.04683,-2.929509,1.309255,6.0913,-0.3134116
Left,1,13.62701,2.875691,24.33695,-2.965637,1.300105,6.195175,-0.3397734
Left,1,13.64724,2.887308,24.46851,-2.97973,1.289526,6.233915,-0.3588198
Left,1,13.66891,2.898878,24.59608,-2.999896,1.275028,6.287871,-0.3886621
Left,1,13.69646,2.923422,24.80828,-3.040408,1.262846,6.391018,-0.4265846
Left,1,13.72439,2.939848,24.9562,-3.05627,1.26114,6.476203,-0.4458725
Left,1,13.75162,2.961608,25.03908,-3.069819,1.274568,6.545295,-0.4558544
Left,1,13.78097,2.96854,25.10652,-3.074916,1.308507,6.640566,-0.4639383
Left,1,13.80097,2.958831,25.15529,-3.059215,1.336473,6.686185,-0.4639383
Left,1,13.82162,2.967155,25.21398,-3.055822,1.365014,6.740812,-0.4588492
Left,1,13.84889,2.990026,25.35118,-3.042853,1.414577,6.828001,-0.4427898
Left,1,13.879,3.015777,25.54875,-3.026468,1.436949,6.897821,-0.4445539
Left,1,13.90562,3.059983,25.74854,-3.037187,1.450369,6.951273,-0.4511079
Left,1,13.93181,3.107783,25.96578,-3.07498,1.443472,6.992239,-0.4673002
Left,1,13.95237,3.129065,26.0712,-3.108791,1.430261,7.011429,-0.4784724
Left,1,13.97377,3.159325,26.19276,-3.159201,1.420926,7.049431,-0.4945601
Left,1,14.00158,3.218445,26.428,-3.246909,1.416098,7.126483,-0.5196414
Left,1,14.02949,3.279128,26.64885,-3.335248,1.419824,7.19353,-0.5337587
Left,1,14.05771,3.330137,26.85177,-3.41346,1.422991,7.256636,-0.5403171
Left,1,14.08566,3.384487,27.04367,-3.47874,1.424777,7.320032,-0.5414024
Left,1,14.10603,3.411395,27.13776,-3.50822,1.426699,7.352419,-0.5414024
Left,1,14.12717,3.432621,27.24246,-3.535129,1.44035,7.410156,-0.5271187
Left,1,14.15533,3.470795,27.41828,-3.586432,1.467271,7.508488,-0.4988932
Left,1,14.18316,3.508722,27.5725,-3.641908,1.465536,7.590937,-0.4821389
Left,1,14.21034,3.54105,27.7611,-3.68589,1.47565,7.674679,-0.4764233
Left,1,14.23829,3.572044,27.98045,-3.736645,1.485826,7.759673,-0.4743652
Left,1,14.25863,3.586978,28.10848,-3.771436,1.483717,7.800567,-0.4747775
Left,1,14.28036,3.610861,28.27155,-3.816288,1.473261,7.859701,-0.4801054
Left,1,14.30762,3.668851,28.60637,-3.905802,1.433541,7.977917,-0.4853748
Left,1,14.33586,3.774031,28.96906,-4.046947,1.38508,8.113774,-0.4885893
Left,1,14.36346,3.877877,29.35929,-4.175045,1.361281,8.255474,-0.4961402
Left,1,14.39589,3.980396,29.84243,-4.306389,1.355519,8.408286,-0.5124369
Left,1,14.43304,4.041814,30.15197,-4.389143,1.350891,8.482811,-0.5196414
Left,1,14.46185,4.196007,30.84786,-4.622664,1.332514,8.641861,-0.5560232
Left,1,14.48814,4.335896,31.49612,-4.832254,1.343629,8.793793,-0.5861744
Left,1,14.51618,4.495229,32.13545,-5.056368,1.342609,8.952846,-0.6205508
Left,1,14.54376,4.644689,32.77511,-5.254155,1.334275,9.125093,-0.6528208
