Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,38.98895,(0.21* 0.01* 0.98),(0.47* -0.54* 0.70),-3.404386,(-0.07* 1.00* 0.07),(-0.06* 1.00* 0.02),(359.59* 12.64* 29.70)
Down,2,42.57967,(0.20* 0.04* 0.98),(0.48* -0.56* 0.67),-4.758311,(-0.07* 0.99* 0.07),(-0.07* 1.00* -0.01),(359.59* 12.64* 29.70)
Down,3,44.73614,(0.19* 0.06* 0.98),(0.48* -0.56* 0.67),-5.187009,(-0.07* 1.00* 0.05),(-0.05* 1.00* -0.04),(359.59* 12.64* 29.70)
Right,1,48.84735,(0.21* 0.03* 0.98),(0.78* 0.38* 0.50),2.289355,(-0.06* 1.00* 0.04),(-0.04* 1.00* 0.08),(359.59* 12.64* 29.70)
Right,2,49.46958,(0.19* 0.02* 0.98),(0.78* 0.38* 0.50),1.175531,(-0.06* 1.00* 0.07),(-0.05* 1.00* 0.08),(359.59* 12.64* 29.70)
Right,3,48.64118,(0.22* 0.02* 0.97),(0.78* 0.38* 0.49),1.176197,(-0.06* 1.00* 0.06),(-0.04* 1.00* 0.06),(359.59* 12.64* 29.70)
Up,1,-31.02055,(0.19* 0.02* 0.98),(-0.08* 0.47* 0.88),4.573803,(-0.08* 0.99* 0.06),(-0.07* 0.99* 0.14),(359.59* 12.64* 29.70)
Up,2,-30.44017,(0.23* 0.00* 0.97),(-0.05* 0.44* 0.90),-1.700884,(-0.06* 0.99* 0.09),(-0.09* 0.99* 0.09),(359.59* 12.64* 29.70)
Up,3,-33.06329,(0.23* -0.01* 0.97),(-0.07* 0.47* 0.88),2.878276,(-0.06* 0.99* 0.08),(-0.09* 0.99* 0.12),(359.59* 12.64* 29.70)
Left,1,-46.14753,(0.22* 0.00* 0.98),(-0.46* -0.35* 0.81),-3.927751,(-0.07* 1.00* 0.05),(-0.13* 0.99* 0.09),(359.59* 12.64* 29.70)
Left,2,-39.10851,(0.15* 0.04* 0.99),(-0.44* -0.26* 0.86),1.973975,(-0.08* 1.00* 0.05),(-0.10* 0.99* 0.08),(359.59* 12.64* 29.70)
Left,3,-41.97022,(0.16* 0.04* 0.99),(-0.46* -0.28* 0.84),0.9985801,(-0.08* 0.99* 0.06),(-0.09* 0.99* 0.08),(359.59* 12.64* 29.70)
