starting
0, 331, 331, 331, 331,
1, 331, 332, 332, 331,
2, 332, 332, 330, 332,
4, 332, 333, 331, 332,
5, 332, 333, 332, 332,
7, 332, 333, 331, 331,
8, 332, 332, 331, 332,
10, 332, 333, 331, 331,
12, 332, 333, 331, 331,
14, 332, 333, 332, 332,
16, 332, 332, 332, 332,
19, 332, 332, 331, 332,
21, 332, 332, 332, 332,
23, 331, 332, 332, 332,
25, 332, 333, 332, 330,
27, 332, 333, 332, 332,
29, 332, 333, 331, 331,
32, 332, 333, 332, 332,
34, 331, 335, 331, 331,
36, 332, 332, 331, 332,
38, 333, 333, 331, 331,
40, 332, 332, 332, 333,
43, 331, 332, 332, 331,
46, 332, 333, 331, 332,
48, 331, 332, 332, 332,
50, 331, 332, 331, 331,
52, 332, 332, 330, 332,
54, 332, 332, 331, 335,
56, 332, 332, 331, 331,
58, 332, 332, 332, 332,
61, 330, 332, 331, 331,
63, 332, 332, 331, 332,
65, 331, 332, 331, 331,
67, 332, 332, 332, 332,
69, 331, 332, 332, 331,
71, 332, 330, 331, 331,
74, 332, 332, 332, 331,
76, 332, 331, 331, 331,
78, 332, 332, 332, 332,
80, 332, 332, 333, 331,
82, 331, 332, 332, 331,
84, 330, 332, 332, 331,
88, 332, 333, 333, 332,
90, 332, 331, 331, 332,
92, 330, 331, 332, 331,
94, 331, 332, 331, 331,
96, 331, 332, 331, 331,
98, 331, 332, 331, 331,
100, 331, 332, 332, 331,
103, 331, 331, 332, 331,
105, 332, 332, 332, 330,
107, 330, 332, 331, 331,
109, 331, 331, 332, 331,
112, 331, 333, 332, 331,
114, 331, 331, 332, 331,
116, 332, 332, 333, 330,
118, 331, 332, 333, 332,
121, 331, 332, 333, 332,
123, 331, 332, 332, 331,
125, 331, 332, 333, 331,
128, 331, 332, 335, 331,
131, 331, 331, 333, 332,
133, 331, 332, 333, 332,
135, 330, 332, 332, 331,
137, 330, 332, 333, 332,
140, 330, 333, 332, 332,
142, 330, 332, 332, 332,
144, 331, 332, 332, 331,
146, 330, 332, 332, 332,
149, 330, 332, 333, 332,
151, 330, 333, 333, 332,
153, 331, 331, 333, 332,
155, 331, 332, 333, 332,
158, 331, 332, 333, 332,
160, 330, 332, 331, 332,
162, 330, 332, 333, 332,
164, 331, 332, 333, 332,
166, 330, 332, 334, 332,
169, 331, 334, 333, 332,
172, 330, 331, 333, 332,
174, 330, 331, 333, 333,
176, 330, 332, 332, 332,
179, 330, 332, 333, 331,
181, 331, 332, 334, 332,
183, 329, 332, 333, 332,
185, 330, 331, 334, 332,
188, 330, 332, 332, 332,
190, 330, 332, 333, 332,
192, 330, 332, 333, 333,
194, 330, 332, 333, 332,
197, 330, 331, 333, 332,
199, 330, 331, 332, 332,
201, 330, 332, 333, 337,
203, 330, 332, 333, 333,
206, 330, 331, 333, 332,
208, 330, 331, 334, 332,
210, 330, 331, 333, 332,
212, 330, 331, 334, 331,
216, 330, 332, 333, 332,
218, 331, 331, 332, 332,
220, 330, 331, 332, 332,
222, 330, 331, 333, 332,
225, 331, 331, 332, 330,
