Direction,tCount,Time,HeadPitch,HeadYaw,HeadRoll,BodyPitch,BodyYaw,BodyRoll
Left,1,7.460044,2.341844,3.82541,0.9709598,0.7428315,1.896923,0.605226
Left,1,7.532914,2.445766,3.879947,1.013557,0.7322189,1.892378,0.6113381
Left,1,7.553737,2.503584,3.919715,1.052019,0.7187329,1.883775,0.6202354
Left,1,7.582985,2.542605,3.943076,1.07829,0.7083117,1.873671,0.6274496
Left,1,7.609699,2.53613,3.938206,1.085164,0.699975,1.863827,0.6330382
Left,1,7.638006,2.554049,4.02769,1.167011,0.6921035,1.854985,0.6370438
Left,1,7.666289,2.552976,4.054344,1.189761,0.6864257,1.849068,0.6404136
Left,1,7.695213,2.573062,4.138673,1.271955,0.6778198,1.840262,0.6376578
Left,1,7.723201,2.551519,4.131806,1.255074,0.6644077,1.82467,0.6255757
Left,1,7.751028,2.501472,4.062113,1.186302,0.6537194,1.814236,0.615167
Left,1,7.778871,2.473143,4.013516,1.151141,0.6410245,1.802657,0.6013339
Left,1,7.807189,2.423901,3.947792,1.128999,0.628073,1.790347,0.5875081
Left,1,7.834919,2.373061,3.868777,1.115398,0.6236961,1.798853,0.5911604
Left,1,7.863071,2.336824,3.814286,1.111708,0.6183397,1.791877,0.5845029
Left,1,7.891255,2.194013,3.727463,1.083901,0.6189722,1.798636,0.5898349
Left,1,7.918314,2.269261,3.817006,1.142781,0.6183397,1.802874,0.5954478
Left,1,7.946226,2.37891,3.907557,1.17653,0.614212,1.802006,0.598725
Left,1,7.974885,2.4672,4.013175,1.215309,0.6100564,1.797112,0.6032831
Left,1,8.002609,2.550522,4.146615,1.265941,0.6097356,1.786956,0.6065179
Left,1,8.029628,2.382199,4.132565,1.231782,0.6103771,1.772992,0.6103771
Left,1,8.057431,1.994294,3.986492,1.159441,0.6100564,1.750554,0.6074851
Left,1,8.085238,1.681676,3.967436,1.055176,0.6161205,1.738325,0.6090934
Left,1,8.114651,1.374585,4.03114,0.9608305,0.6258884,1.733591,0.6135744
Left,1,8.141833,1.168686,4.214775,0.8862489,0.635814,1.726238,0.6180231
Left,1,8.169909,1.023164,4.484191,0.8400003,0.6407191,1.701229,0.6036074
Left,1,8.196966,0.8132511,4.740988,0.7715172,0.6596788,1.683653,0.5928131
Left,1,8.22471,0.6693957,5.048728,0.7121689,0.6827098,1.669647,0.583833
Left,1,8.252415,0.5719823,5.428886,0.6489125,0.7019292,1.661539,0.5808088
Left,1,8.280346,-0.4913847,5.861469,0.5702693,0.7135413,1.655758,0.5824909
Left,1,8.3084,-0.4396856,6.3293,0.4756011,0.7149112,1.624015,0.5650989
Left,1,8.335451,-0.3631561,6.95353,0.4054182,0.7187329,1.60291,0.5574291
Left,1,8.363402,-0.2748253,7.644163,0.3368816,0.721179,1.583009,0.5507192
Left,1,8.391541,-0.191797,8.343956,0.2414744,0.7222635,1.569975,0.5432066
Left,1,8.419247,-0.1897456,9.027654,0.1312212,0.7244276,1.565981,0.533392
Left,1,8.448998,-0.1008706,9.896681,0.1813082,0.7265852,1.568852,0.5211454
Left,1,8.474772,-0.01978234,10.63056,0.07132626,0.7322189,1.579296,0.5070629
Left,1,8.501738,0.1312212,11.47164,0.04423466,0.7322189,1.594832,0.5059038
Left,1,8.530306,0.3214254,12.32459,-0.03956468,0.7433581,1.626303,0.5158621
Left,1,8.557734,0.4614008,13.17009,-0.132704,0.7543329,1.653392,0.5135812
Left,1,8.586104,0.5196414,14.00169,-0.234068,0.7574393,1.696621,0.5169988
Left,1,8.613855,0.6106976,14.87118,-0.3077414,0.7875819,1.76536,0.5151029
Left,1,8.641383,0.652521,15.68706,-0.4010509,0.8197219,1.877323,0.533025
Left,1,8.668987,0.6974546,16.47744,-0.5047422,0.8534044,1.983272,0.5395923
Left,1,8.696549,0.7451985,17.23939,-0.598725,0.8393012,2.064691,0.5267473
Left,1,8.724771,0.7996635,17.99116,-0.6915378,0.872228,2.188654,0.5442861
Left,1,8.753124,0.8751395,18.72848,-0.7890712,0.9095671,2.338666,0.5595313
Left,1,8.780318,0.949151,19.42863,-0.886911,0.9283059,2.49975,0.5794597
Left,1,8.808379,1.013943,20.11413,-0.9624583,0.9532654,2.651218,0.591822
Left,1,8.835989,1.057214,20.74169,-1.031165,0.9769872,2.799672,0.6058724
Left,1,8.863815,1.097357,21.32249,-1.087865,0.993866,2.953665,0.6135744
Left,1,8.8999,1.139523,21.88972,-1.144492,0.9977959,3.125998,0.633656
Left,1,8.919925,1.199262,22.40411,-1.215631,1.004442,3.270938,0.6373509
Left,1,8.947224,-1.25367,22.91127,-1.278554,1.036465,3.401682,0.6236961
Left,1,8.975782,-1.307759,23.42091,-1.34188,1.061094,3.536513,0.615485
Left,1,9.003166,-1.364584,23.95673,-1.409588,1.09289,3.687165,0.6233823
Left,1,9.030795,-1.419411,24.5521,-1.475915,1.066612,3.837625,0.6345818
