Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Right,1,64.08552,(0.12* 0.99* 0.05),(0.88* 0.35* -0.33),-14.06166,(0.13* 0.98* -0.12),(0.37* 0.93* -0.08),(276.84* 68.49* 315.15)
Right,2,63.14893,(0.13* 0.99* 0.04),(0.87* 0.35* -0.33),-12.02697,(0.15* 0.98* -0.12),(0.35* 0.93* -0.12),(276.84* 68.49* 315.15)
Right,3,64.21703,(0.14* 0.99* 0.02),(0.88* 0.32* -0.34),-13.53682,(0.14* 0.99* -0.08),(0.37* 0.93* -0.07),(276.84* 68.49* 315.15)
Up,1,28.50257,(0.14* 0.99* 0.04),(-0.08* 0.91* -0.40),-2.06829,(0.10* 0.99* -0.08),(0.09* 0.99* -0.05),(276.84* 68.49* 315.15)
Up,2,29.01333,(0.10* 0.99* 0.01),(-0.10* 0.89* -0.44),2.660063,(0.07* 0.99* -0.10),(0.04* 1.00* -0.07),(276.84* 68.49* 315.15)
Up,3,26.78182,(0.11* 0.99* 0.02),(-0.08* 0.92* -0.39),-2.116924,(0.04* 0.99* -0.14),(0.05* 0.99* -0.10),(276.84* 68.49* 315.15)
Left,1,-69.20235,(0.13* 0.99* 0.04),(-0.80* 0.44* 0.40),14.89485,(0.08* 0.99* -0.09),(-0.18* 0.98* -0.03),(276.84* 68.49* 315.15)
Left,2,-75.24754,(0.10* 1.00* 0.02),(-0.86* 0.33* 0.40),15.61752,(0.04* 1.00* -0.06),(-0.23* 0.97* -0.01),(276.84* 68.49* 315.15)
Left,3,-77.25998,(0.08* 1.00* 0.04),(-0.87* 0.28* 0.41),19.47812,(0.05* 1.00* -0.08),(-0.28* 0.96* 0.00),(276.84* 68.49* 315.15)
Down,1,-31.74874,(0.08* 1.00* 0.06),(0.31* 0.80* 0.51),-3.162483,(0.05* 0.99* -0.09),(0.10* 0.99* -0.07),(276.84* 68.49* 315.15)
Down,2,-39.85384,(0.12* 0.99* 0.07),(0.36* 0.68* 0.64),2.967947,(0.05* 1.00* -0.03),(0.08* 0.99* -0.07),(276.84* 68.49* 315.15)
Down,3,-44.26759,(0.12* 0.99* 0.06),(0.36* 0.64* 0.68),-1.607665,(0.06* 1.00* -0.06),(0.08* 1.00* -0.04),(276.84* 68.49* 315.15)
