Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,-78.73483,(-0.02* 0.00* 1.00),(-0.98* -0.06* 0.18),-14.15887,(-0.32* 0.95* -0.03),(-0.53* 0.84* -0.10),(1.37* 359.17* 2.95)
Left,2,-70.85474,(-0.01* -0.03* 1.00),(-0.95* -0.06* 0.32),-7.39388,(-0.37* 0.93* -0.02),(-0.48* 0.88* -0.04),(1.37* 359.17* 2.95)
Left,3,-72.16087,(-0.01* -0.02* 1.00),(-0.95* -0.06* 0.29),-5.91049,(-0.39* 0.92* -0.03),(-0.48* 0.87* -0.06),(1.37* 359.17* 2.95)
Down,1,65.26695,(-0.02* -0.02* 1.00),(0.06* -0.91* 0.40),1.123961,(-0.37* 0.93* -0.03),(-0.37* 0.93* -0.01),(1.37* 359.17* 2.95)
Down,2,67.30954,(-0.01* -0.04* 1.00),(0.05* -0.93* 0.35),2.880791,(-0.35* 0.94* -0.01),(-0.37* 0.93* 0.03),(1.37* 359.17* 2.95)
Down,3,69.39445,(-0.01* -0.02* 1.00),(0.05* -0.94* 0.34),2.070654,(-0.36* 0.93* 0.02),(-0.38* 0.92* 0.05),(1.37* 359.17* 2.95)
Right,1,102.6743,(-0.01* -0.03* 1.00),(0.98* 0.06* -0.21),-29.88508,(-0.36* 0.93* -0.02),(0.15* 0.99* 0.00),(1.37* 359.17* 2.95)
Right,2,103.138,(-0.01* -0.01* 1.00),(0.97* 0.05* -0.22),-23.70514,(-0.22* 0.97* -0.05),(0.18* 0.98* 0.03),(1.37* 359.17* 2.95)
Right,3,94.0577,(-0.01* -0.01* 1.00),(1.00* 0.06* -0.06),-18.93647,(-0.22* 0.97* -0.07),(0.10* 0.99* 0.02),(1.37* 359.17* 2.95)
Up,1,-49.31535,(-0.02* -0.02* 1.00),(-0.05* 0.74* 0.67),7.922114,(-0.25* 0.96* -0.10),(-0.23* 0.97* 0.03),(1.37* 359.17* 2.95)
Up,2,-51.58841,(-0.01* 0.00* 1.00),(-0.05* 0.78* 0.62),6.6851,(-0.25* 0.96* -0.10),(-0.23* 0.97* 0.02),(1.37* 359.17* 2.95)
Up,3,-50.15668,(-0.01* 0.04* 1.00),(-0.06* 0.79* 0.61),7.639103,(-0.26* 0.96* -0.10),(-0.24* 0.97* 0.03),(1.37* 359.17* 2.95)
