Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Left,1,-96.04987,(-0.02* -0.03* 1.00),(-0.99* -0.04* -0.12),32.85439,(-0.29* 0.96* -0.04),(-0.76* 0.64* -0.04),(2.31* 359.19* 2.63)
Left,2,-92.67821,(-0.01* -0.04* 1.00),(-1.00* -0.04* -0.06),28.17747,(-0.41* 0.91* -0.03),(-0.79* 0.61* -0.03),(2.31* 359.19* 2.63)
Left,3,-97.2442,(-0.01* -0.04* 1.00),(-0.99* -0.04* -0.13),-29.71866,(-0.43* 0.90* 0.00),(-0.82* 0.57* -0.01),(2.31* 359.19* 2.63)
Down,1,45.00045,(-0.01* -0.04* 1.00),(0.04* -0.73* 0.68),1.310898,(-0.44* 0.90* 0.01),(-0.43* 0.90* 0.03),(2.31* 359.19* 2.63)
Down,2,50.94429,(-0.01* -0.06* 1.00),(0.05* -0.81* 0.59),-0.4985009,(-0.44* 0.90* 0.04),(-0.43* 0.90* 0.03),(2.31* 359.19* 2.63)
Down,3,44.24454,(-0.01* -0.04* 1.00),(0.04* -0.72* 0.69),-1.943903,(-0.43* 0.90* 0.05),(-0.42* 0.91* 0.02),(2.31* 359.19* 2.63)
Right,1,104.6213,(-0.01* -0.05* 1.00),(0.97* 0.06* -0.24),50.50161,(-0.43* 0.90* 0.05),(0.42* 0.90* 0.09),(2.31* 359.19* 2.63)
Right,2,112.8437,(-0.03* -0.04* 1.00),(0.93* 0.06* -0.36),-44.82132,(-0.14* 0.99* -0.04),(0.58* 0.81* 0.12),(2.31* 359.19* 2.63)
Right,3,115.6379,(-0.02* -0.05* 1.00),(0.91* 0.06* -0.41),-44.81,(-0.09* 0.99* -0.10),(0.62* 0.78* 0.09),(2.31* 359.19* 2.63)
Up,1,-43.12974,(-0.02* -0.04* 1.00),(-0.05* 0.65* 0.76),1.967122,(-0.02* 1.00* -0.06),(-0.05* 1.00* -0.06),(2.31* 359.19* 2.63)
Up,2,-39.21525,(-0.02* -0.03* 1.00),(-0.04* 0.60* 0.80),2.284219,(-0.06* 0.99* -0.09),(-0.06* 1.00* -0.05),(2.31* 359.19* 2.63)
Up,3,-45.144,(-0.02* -0.04* 1.00),(-0.04* 0.68* 0.73),1.705021,(-0.07* 0.99* -0.09),(-0.05* 1.00* -0.06),(2.31* 359.19* 2.63)
