Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Down,1,-0.5326577,(0.23* 0.05* 0.97),(0.22* 0.05* 0.97),2.742168,(0.11* 0.99* 0.07),(0.08* 1.00* 0.03),(357.41* 13.16* 191.51)
Down,2,-49.00288,(0.21* 0.10* 0.97),(-0.03* 0.80* 0.60),10.44376,(0.10* 0.99* 0.09),(0.03* 1.00* -0.07),(357.41* 13.16* 191.51)
Down,3,-49.35741,(0.21* 0.07* 0.98),(-0.02* 0.79* 0.61),6.277573,(0.08* 1.00* 0.04),(0.04* 1.00* -0.07),(357.41* 13.16* 191.51)
Right,1,-3.004852,(0.22* 0.09* 0.97),(0.19* 0.05* 0.98),1.35205,(0.10* 0.99* 0.07),(0.08* 1.00* 0.06),(357.41* 13.16* 191.51)
Right,2,-71.66682,(0.18* 0.05* 0.98),(-0.86* -0.18* 0.49),4.327983,(0.08* 0.99* 0.06),(0.07* 1.00* -0.01),(357.41* 13.16* 191.51)
Right,3,-75.40688,(0.19* 0.03* 0.98),(-0.88* -0.19* 0.43),1.410282,(0.06* 1.00* 0.01),(0.08* 1.00* 0.00),(357.41* 13.16* 191.51)
Up,1,58.5695,(0.19* 0.03* 0.98),(0.29* -0.82* 0.50),-3.538727,(0.07* 1.00* 0.03),(0.07* 0.99* 0.09),(357.41* 13.16* 191.51)
Up,2,35.38015,(0.23* 0.01* 0.97),(0.31* -0.56* 0.77),11.84997,(0.11* 0.97* 0.23),(0.04* 1.00* 0.04),(357.41* 13.16* 191.51)
Up,3,32.27641,(0.24* 0.00* 0.97),(0.30* -0.52* 0.80),2.986554,(0.11* 0.97* 0.21),(0.09* 0.98* 0.16),(357.41* 13.16* 191.51)
Left,1,1.903515,(0.24* 0.01* 0.97),(0.25* 0.04* 0.97),0.6587883,(0.11* 0.97* 0.21),(0.12* 0.97* 0.21),(357.41* 13.16* 191.51)
Left,2,55.15975,(0.26* 0.05* 0.96),(0.92* 0.20* 0.33),1.481737,(0.11* 0.97* 0.20),(0.10* 0.98* 0.18),(357.41* 13.16* 191.51)
Left,3,59.5438,(0.22* 0.05* 0.97),(0.94* 0.18* 0.30),-1.790019,(0.10* 0.98* 0.18),(0.07* 0.98* 0.17),(357.41* 13.16* 191.51)
