Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Right,1,59.31364,(0.14* 0.98* 0.15),(0.86* 0.44* -0.27),-5.290947,(0.16* 0.99* -0.06),(0.25* 0.97* -0.05),(282.27* 41.45* 341.65)
Right,2,57.40198,(0.19* 0.97* 0.13),(0.86* 0.43* -0.27),-5.461743,(0.14* 0.98* -0.15),(0.17* 0.98* -0.07),(282.27* 41.45* 341.65)
Right,3,59.12211,(0.18* 0.97* 0.13),(0.87* 0.40* -0.28),-9.369449,(0.15* 0.98* -0.15),(0.24* 0.97* -0.01),(282.27* 41.45* 341.65)
Up,1,39.83323,(0.18* 0.97* 0.13),(-0.13* 0.87* -0.47),-2.91853,(0.14* 0.98* -0.12),(0.12* 0.99* -0.07),(282.27* 41.45* 341.65)
Up,2,36.96303,(0.12* 0.99* 0.11),(-0.13* 0.88* -0.46),-7.65381,(0.09* 0.99* -0.13),(0.08* 1.00* 0.01),(282.27* 41.45* 341.65)
Up,3,37.01601,(0.12* 0.99* 0.11),(-0.13* 0.88* -0.46),-4.766291,(0.05* 0.99* -0.10),(0.08* 1.00* -0.02),(282.27* 41.45* 341.65)
Left,1,-56.06747,(0.13* 0.99* 0.11),(-0.68* 0.61* 0.41),-1.645681,(0.06* 1.00* -0.08),(0.06* 1.00* -0.05),(282.27* 41.45* 341.65)
Left,2,-56.36599,(0.11* 0.98* 0.16),(-0.70* 0.58* 0.42),0.9817823,(0.12* 0.99* -0.06),(0.10* 0.99* -0.05),(282.27* 41.45* 341.65)
Left,3,-55.37695,(0.10* 0.98* 0.17),(-0.70* 0.58* 0.42),-1.338814,(0.11* 0.99* -0.06),(0.09* 0.99* -0.04),(282.27* 41.45* 341.65)
Down,1,-12.42064,(0.13* 0.97* 0.19),(0.23* 0.90* 0.37),3.218688,(0.12* 0.99* -0.04),(0.13* 0.99* -0.09),(282.27* 41.45* 341.65)
Down,2,-19.10643,(0.14* 0.98* 0.15),(0.26* 0.86* 0.44),1.212246,(0.13* 0.99* -0.08),(0.15* 0.98* -0.09),(282.27* 41.45* 341.65)
Down,3,-21.08335,(0.15* 0.97* 0.17),(0.26* 0.83* 0.49),-1.330015,(0.14* 0.99* -0.09),(0.16* 0.98* -0.09),(282.27* 41.45* 341.65)
