Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Right,1,-85.39069,(-0.14* 0.97* -0.20),(0.84* 0.09* -0.54),18.95581,(-0.03* 0.99* 0.13),(0.29* 0.94* 0.15),(284.42* 215.09* 176.49)
Right,2,-89.01723,(-0.12* 0.97* -0.23),(0.85* 0.00* -0.52),16.59175,(0.02* 0.99* 0.14),(0.29* 0.93* 0.22),(284.42* 215.09* 176.49)
Right,3,-95.08785,(-0.13* 0.97* -0.22),(0.86* -0.09* -0.50),19.29906,(0.05* 0.99* 0.09),(0.36* 0.91* 0.18),(284.42* 215.09* 176.49)
Up,1,47.80572,(-0.12* 0.97* -0.22),(-0.46* 0.47* -0.75),-3.207599,(0.05* 0.99* 0.11),(0.01* 0.99* 0.14),(284.42* 215.09* 176.49)
Up,2,0.3286494,(-0.16* 0.96* -0.23),(-0.17* 0.96* -0.24),6.25492,(0.00* 0.98* 0.22),(0.02* 0.99* 0.11),(284.42* 215.09* 176.49)
Up,3,-40.19967,(-0.15* 0.96* -0.22),(-0.44* 0.57* -0.69),-1.913768,(0.06* 1.00* 0.07),(0.05* 0.99* 0.10),(284.42* 215.09* 176.49)
Left,1,68.08491,(-0.16* 0.96* -0.22),(-0.85* 0.34* 0.41),-16.09242,(0.00* 0.99* 0.13),(-0.28* 0.95* 0.14),(284.42* 215.09* 176.49)
Left,2,72.60039,(-0.19* 0.96* -0.22),(-0.85* 0.25* 0.46),-16.5307,(-0.06* 0.99* 0.11),(-0.34* 0.93* 0.14),(284.42* 215.09* 176.49)
Left,3,78.12719,(-0.19* 0.96* -0.21),(-0.86* 0.15* 0.48),-19.85313,(-0.04* 0.99* 0.13),(-0.37* 0.91* 0.20),(284.42* 215.09* 176.49)
Down,1,56.35836,(-0.15* 0.96* -0.22),(0.35* 0.75* 0.56),-4.415126,(-0.05* 0.99* 0.13),(-0.06* 1.00* 0.05),(284.42* 215.09* 176.49)
Down,2,0.6170725,(-0.16* 0.96* -0.23),(-0.15* 0.96* -0.22),0.4116447,(-0.06* 0.99* 0.09),(-0.06* 0.99* 0.10),(284.42* 215.09* 176.49)
Down,3,56.26737,(-0.16* 0.96* -0.22),(0.33* 0.76* 0.56),-3.430453,(-0.06* 0.99* 0.13),(-0.08* 0.99* 0.07),(284.42* 215.09* 176.49)
