Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Right,1,-77.31345,(-0.08* 0.99* -0.14),(0.79* 0.21* -0.58),11.12686,(-0.04* 0.99* 0.12),(0.15* 0.98* 0.14),(279.32* 210.70* 183.06)
Right,2,-75.39072,(-0.06* 0.98* -0.16),(0.79* 0.20* -0.57),9.019009,(0.02* 0.99* 0.11),(0.16* 0.97* 0.16),(279.32* 210.70* 183.06)
Right,3,-76.81303,(-0.07* 0.99* -0.15),(0.80* 0.20* -0.57),7.908523,(0.03* 1.00* 0.09),(0.14* 0.98* 0.16),(279.32* 210.70* 183.06)
Up,1,47.43359,(-0.06* 0.99* -0.16),(-0.46* 0.55* -0.70),-2.567198,(0.00* 0.99* 0.13),(-0.03* 0.98* 0.17),(279.32* 210.70* 183.06)
Up,2,37.57005,(-0.11* 0.98* -0.18),(-0.42* 0.65* -0.63),-1.551417,(0.01* 0.99* 0.11),(-0.01* 0.99* 0.13),(279.32* 210.70* 183.06)
Up,3,40.67343,(-0.10* 0.98* -0.18),(-0.44* 0.61* -0.66),-2.819389,(0.02* 0.99* 0.11),(-0.02* 0.99* 0.14),(279.32* 210.70* 183.06)
Left,1,59.42838,(-0.09* 0.98* -0.15),(-0.76* 0.51* 0.41),-2.230287,(-0.02* 0.99* 0.10),(-0.05* 1.00* 0.08),(279.32* 210.70* 183.06)
Left,2,65.12868,(-0.11* 0.98* -0.14),(-0.80* 0.40* 0.45),-5.643683,(0.00* 1.00* 0.09),(-0.09* 0.99* 0.08),(279.32* 210.70* 183.06)
Left,3,64.68919,(-0.10* 0.99* -0.13),(-0.79* 0.42* 0.45),-5.244823,(-0.02* 1.00* 0.07),(-0.12* 0.99* 0.08),(279.32* 210.70* 183.06)
Down,1,-60.7968,(-0.09* 0.99* -0.13),(0.45* 0.62* 0.64),-6.011478,(-0.03* 0.99* 0.13),(-0.04* 1.00* 0.02),(279.32* 210.70* 183.06)
Down,2,-61.19678,(-0.10* 0.98* -0.15),(0.44* 0.63* 0.64),-5.002454,(-0.03* 1.00* 0.08),(-0.04* 1.00* -0.01),(279.32* 210.70* 183.06)
Down,3,-69.98289,(-0.09* 0.98* -0.15),(0.48* 0.50* 0.72),-1.695237,(-0.02* 1.00* 0.06),(-0.05* 1.00* 0.07),(279.32* 210.70* 183.06)
