Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Right,1,-63.02358,(-0.16* 0.99* 0.01),(-0.09* 0.45* -0.89),3.464811,(-0.12* 0.96* 0.25),(-0.07* 0.97* 0.22),(279.55* 273.49* 177.84)
Right,2,-62.18299,(-0.15* 0.99* -0.03),(-0.10* 0.43* -0.90),4.765839,(-0.14* 0.95* 0.28),(-0.08* 0.97* 0.23),(279.55* 273.49* 177.84)
Right,3,-61.33584,(-0.17* 0.98* -0.02),(-0.08* 0.45* -0.89),4.952544,(-0.12* 0.96* 0.26),(-0.05* 0.97* 0.22),(279.55* 273.49* 177.84)
Up,1,31.02663,(-0.15* 0.99* -0.02),(-0.64* 0.77* 0.01),2.110905,(-0.12* 0.96* 0.26),(-0.08* 0.96* 0.27),(279.55* 273.49* 177.84)
Up,2,31.05378,(-0.19* 0.98* 0.00),(-0.67* 0.75* 0.00),3.203813,(-0.12* 0.96* 0.24),(-0.06* 0.97* 0.25),(279.55* 273.49* 177.84)
Up,3,-30.92946,(-0.17* 0.98* 0.01),(-0.66* 0.75* 0.01),2.650701,(-0.13* 0.96* 0.27),(-0.08* 0.96* 0.25),(279.55* 273.49* 177.84)
Left,1,53.09784,(-0.19* 0.98* 0.00),(-0.11* 0.59* 0.80),-3.075999,(-0.12* 0.96* 0.26),(-0.16* 0.96* 0.23),(279.55* 273.49* 177.84)
Left,2,53.7862,(-0.17* 0.98* 0.05),(-0.08* 0.54* 0.84),-3.131254,(-0.14* 0.95* 0.27),(-0.19* 0.95* 0.24),(279.55* 273.49* 177.84)
Left,3,56.57847,(-0.16* 0.99* 0.04),(-0.08* 0.51* 0.85),-4.290259,(-0.13* 0.95* 0.28),(-0.18* 0.96* 0.23),(279.55* 273.49* 177.84)
Down,1,39.88127,(-0.16* 0.99* 0.03),(0.51* 0.86* -0.02),-6.464354,(-0.13* 0.96* 0.27),(-0.08* 0.98* 0.17),(279.55* 273.49* 177.84)
Down,2,-41.92672,(-0.19* 0.98* -0.02),(0.51* 0.86* -0.01),4.679688,(-0.12* 0.96* 0.24),(-0.08* 0.98* 0.18),(279.55* 273.49* 177.84)
Down,3,40.3405,(-0.19* 0.98* 0.02),(0.49* 0.87* -0.01),-6.710749,(-0.13* 0.96* 0.26),(-0.09* 0.98* 0.16),(279.55* 273.49* 177.84)
