Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Up,1,30.64509,(-0.10* 1.00* 0.00),(-0.10* 0.85* 0.51),2.103847,(-0.09* 1.00* 0.01),(-0.11* 0.99* 0.04),(275.20* 269.06* 268.83)
Up,2,27.3985,(-0.09* 1.00* 0.02),(-0.10* 0.87* 0.48),-1.013363,(-0.09* 1.00* 0.02),(-0.11* 0.99* 0.03),(275.20* 269.06* 268.83)
Up,3,28.99422,(-0.09* 1.00* 0.02),(-0.11* 0.86* 0.50),1.146713,(-0.09* 1.00* 0.03),(-0.11* 0.99* 0.05),(275.20* 269.06* 268.83)
Left,1,66.69436,(-0.09* 0.99* 0.05),(0.88* 0.48* 0.03),-2.254985,(-0.09* 1.00* 0.01),(-0.13* 0.99* 0.01),(275.20* 269.06* 268.83)
Left,2,61.72162,(-0.06* 1.00* 0.00),(0.85* 0.53* 0.04),-1.387621,(-0.12* 0.99* 0.02),(-0.15* 0.99* 0.02),(275.20* 269.06* 268.83)
Left,3,61.41187,(-0.05* 1.00* 0.00),(0.85* 0.53* 0.04),1.4992,(-0.13* 0.99* 0.02),(-0.15* 0.99* 0.04),(275.20* 269.06* 268.83)
Down,1,-33.67628,(-0.07* 1.00* 0.00),(-0.06* 0.83* -0.55),-1.853508,(-0.09* 1.00* 0.01),(-0.07* 1.00* -0.01),(275.20* 269.06* 268.83)
Down,2,-33.35486,(-0.09* 1.00* -0.03),(-0.05* 0.82* -0.57),-0.6013339,(-0.08* 1.00* 0.00),(-0.08* 1.00* -0.01),(275.20* 269.06* 268.83)
Down,3,-33.89608,(-0.09* 1.00* -0.02),(-0.05* 0.82* -0.57),-0.6218109,(-0.09* 1.00* 0.00),(-0.08* 1.00* -0.01),(275.20* 269.06* 268.83)
Right,1,53.94801,(-0.09* 1.00* -0.03),(-0.86* 0.51* -0.04),-1.508958,(-0.09* 1.00* 0.00),(-0.08* 1.00* -0.02),(275.20* 269.06* 268.83)
Right,2,55.50367,(-0.09* 1.00* 0.00),(-0.87* 0.49* -0.03),-0.901789,(-0.10* 0.99* 0.00),(-0.09* 1.00* -0.01),(275.20* 269.06* 268.83)
Right,3,-54.46261,(-0.09* 1.00* 0.00),(-0.86* 0.50* -0.04),-0.6318005,(-0.10* 0.99* 0.01),(-0.09* 1.00* 0.01),(275.20* 269.06* 268.83)
