Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Up,1,38.91833,(-0.03* 1.00* -0.05),(-0.07* 0.80* 0.59),4.039633,(-0.20* 0.97* -0.10),(-0.22* 0.97* -0.03),(274.08* 205.88* 329.87)
Up,2,30.57573,(-0.04* 1.00* -0.01),(-0.07* 0.86* 0.50),1.154536,(-0.21* 0.98* -0.06),(-0.21* 0.98* -0.04),(274.08* 205.88* 329.87)
Up,3,30.8769,(-0.04* 1.00* 0.00),(-0.07* 0.86* 0.51),0.2193969,(-0.21* 0.98* -0.05),(-0.21* 0.98* -0.04),(274.08* 205.88* 329.87)
Left,1,-75.14147,(-0.03* 1.00* -0.03),(0.96* 0.29* 0.05),14.82827,(-0.15* 0.99* -0.03),(-0.40* 0.92* 0.00),(274.08* 205.88* 329.87)
Left,2,0.9737772,(0.01* 1.00* -0.06),(0.00* 1.00* -0.07),-0.2690692,(-0.18* 0.98* 0.01),(-0.18* 0.98* 0.01),(274.08* 205.88* 329.87)
Left,3,-76.57147,(0.01* 1.00* -0.07),(0.97* 0.23* 0.06),12.57892,(-0.20* 0.98* -0.01),(-0.40* 0.91* 0.01),(274.08* 205.88* 329.87)
Down,1,-32.61745,(-0.01* 1.00* -0.06),(0.00* 0.81* -0.59),-3.178107,(-0.19* 0.98* -0.01),(-0.18* 0.98* -0.07),(274.08* 205.88* 329.87)
Down,2,-32.31189,(-0.03* 0.99* -0.10),(0.01* 0.79* -0.62),-2.574811,(-0.18* 0.98* -0.04),(-0.18* 0.98* -0.08),(274.08* 205.88* 329.87)
Down,3,-0.2661444,(-0.03* 1.00* -0.09),(-0.03* 1.00* -0.09),1.446451,(-0.18* 0.98* -0.06),(-0.19* 0.98* -0.04),(274.08* 205.88* 329.87)
Right,1,61.87776,(-0.02* 1.00* -0.09),(-0.89* 0.44* -0.10),11.23663,(-0.12* 0.99* 0.05),(0.07* 1.00* 0.03),(274.08* 205.88* 329.87)
Right,2,-0.5702693,(-0.05* 1.00* -0.07),(-0.04* 1.00* -0.06),-0.2987072,(-0.07* 1.00* 0.02),(-0.07* 1.00* 0.02),(274.08* 205.88* 329.87)
Right,3,61.37318,(-0.06* 1.00* -0.06),(-0.90* 0.42* -0.10),8.212504,(-0.08* 1.00* 0.04),(0.06* 1.00* 0.06),(274.08* 205.88* 329.87)
