Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Up,1,-31.21112,(0.01* -0.03* 1.00),(0.00* 0.49* 0.87),-2.491201,(0.10* 0.99* 0.06),(0.11* 0.99* 0.11),(1.74* 0.50* 0.77)
Up,2,-32.51512,(0.00* -0.01* 1.00),(0.00* 0.53* 0.85),-1.520585,(0.10* 0.99* 0.09),(0.10* 0.99* 0.11),(1.74* 0.50* 0.77)
Up,3,-34.46775,(0.01* -0.03* 1.00),(0.00* 0.54* 0.84),-0.5931431,(0.10* 0.99* 0.09),(0.09* 0.99* 0.10),(1.74* 0.50* 0.77)
Left,1,-53.11858,(0.02* -0.04* 1.00),(-0.79* -0.02* 0.62),-1.29392,(0.10* 0.99* 0.09),(0.08* 0.99* 0.09),(1.74* 0.50* 0.77)
Left,2,-57.10511,(0.00* -0.02* 1.00),(-0.84* -0.02* 0.55),-1.576567,(0.10* 0.99* 0.10),(0.07* 0.99* 0.11),(1.74* 0.50* 0.77)
Left,3,-57.74501,(-0.01* -0.04* 1.00),(-0.85* -0.02* 0.52),-1.699502,(0.11* 0.99* 0.09),(0.08* 0.99* 0.11),(1.74* 0.50* 0.77)
Down,1,35.78611,(0.01* -0.03* 1.00),(0.01* -0.61* 0.79),2.530181,(0.10* 0.99* 0.09),(0.11* 0.99* 0.05),(1.74* 0.50* 0.77)
Down,2,46.29463,(0.02* -0.07* 1.00),(0.01* -0.77* 0.64),1.483321,(0.10* 0.99* 0.09),(0.10* 0.99* 0.06),(1.74* 0.50* 0.77)
Down,3,50.56774,(0.01* -0.04* 1.00),(0.02* -0.80* 0.60),1.58375,(0.09* 0.99* 0.09),(0.10* 0.99* 0.06),(1.74* 0.50* 0.77)
Right,1,53.74018,(0.01* -0.03* 1.00),(0.81* 0.00* 0.59),0.5570779,(0.10* 0.99* 0.08),(0.11* 0.99* 0.08),(1.74* 0.50* 0.77)
Right,2,51.33108,(0.04* -0.03* 1.00),(0.80* 0.00* 0.60),0.2398483,(0.11* 0.99* 0.08),(0.11* 0.99* 0.08),(1.74* 0.50* 0.77)
Right,3,54.39406,(0.01* -0.03* 1.00),(0.82* 0.01* 0.57),0.6039315,(0.10* 0.99* 0.08),(0.10* 0.99* 0.08),(1.74* 0.50* 0.77)
