Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Right,1,-91.5248,(-0.14* 0.99* 0.00),(0.00* -0.02* -1.00),16.21992,(-0.02* 0.97* 0.22),(0.26* 0.94* 0.24),(277.96* 271.94* 178.20)
Right,2,-85.32423,(-0.13* 0.99* -0.02),(-0.02* 0.06* -1.00),14.46313,(-0.02* 0.97* 0.23),(0.23* 0.95* 0.22),(277.96* 271.94* 178.20)
Right,3,-80.59838,(-0.09* 0.99* -0.04),(-0.02* 0.12* -0.99),11.37877,(-0.01* 0.98* 0.20),(0.18* 0.96* 0.23),(277.96* 271.94* 178.20)
Up,1,3.940593,(-0.11* 0.99* -0.01),(-0.18* 0.98* -0.01),-1.324265,(-0.01* 0.98* 0.20),(-0.03* 0.98* 0.22),(277.96* 271.94* 178.20)
Up,2,31.5147,(-0.18* 0.98* -0.01),(-0.67* 0.74* -0.01),1.72873,(-0.03* 0.97* 0.23),(0.00* 0.97* 0.23),(277.96* 271.94* 178.20)
Up,3,-38.35159,(-0.18* 0.98* 0.01),(-0.75* 0.66* 0.00),2.226159,(-0.04* 0.98* 0.22),(-0.01* 0.97* 0.23),(277.96* 271.94* 178.20)
Left,1,2.653653,(-0.19* 0.98* 0.01),(-0.15* 0.99* 0.03),-0.6218109,(-0.05* 0.97* 0.25),(-0.05* 0.97* 0.24),(277.96* 271.94* 178.20)
Left,2,2.532964,(-0.18* 0.98* 0.01),(-0.14* 0.99* 0.02),1.011237,(-0.11* 0.97* 0.24),(-0.10* 0.97* 0.22),(277.96* 271.94* 178.20)
Left,3,74.50262,(-0.16* 0.99* -0.01),(-0.04* 0.27* 0.96),-14.72402,(-0.10* 0.97* 0.24),(-0.35* 0.90* 0.26),(277.96* 271.94* 178.20)
Down,1,37.91404,(-0.17* 0.98* 0.05),(0.47* 0.88* 0.00),-5.229521,(-0.10* 0.97* 0.24),(-0.08* 0.98* 0.16),(277.96* 271.94* 178.20)
Down,2,42.67923,(-0.15* 0.99* 0.01),(0.56* 0.83* -0.01),-2.214258,(-0.09* 0.97* 0.22),(-0.09* 0.98* 0.19),(277.96* 271.94* 178.20)
Down,3,37.50394,(-0.11* 0.99* 0.00),(0.52* 0.85* 0.00),4.564672,(-0.10* 0.96* 0.24),(-0.06* 0.98* 0.18),(277.96* 271.94* 178.20)
