Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Right,1,-76.23595,(0.06* 0.99* -0.10),(0.98* 0.19* 0.06),10.46804,(-0.10* 0.89* 0.44),(0.08* 0.89* 0.44),(276.82* 144.46* 210.08)
Right,2,-77.45139,(0.11* 0.99* -0.07),(0.99* 0.12* 0.08),8.692263,(-0.05* 0.91* 0.42),(0.10* 0.90* 0.43),(276.82* 144.46* 210.08)
Right,3,-79.22824,(0.07* 0.99* -0.09),(0.99* 0.12* 0.08),8.183621,(-0.05* 0.91* 0.40),(0.09* 0.91* 0.41),(276.82* 144.46* 210.08)
Up,1,31.3243,(0.06* 0.99* -0.08),(0.10* 0.80* -0.59),-0.9264069,(-0.06* 0.88* 0.47),(-0.08* 0.88* 0.48),(276.82* 144.46* 210.08)
Up,2,29.71951,(0.06* 0.99* -0.10),(0.10* 0.81* -0.58),4.078039,(-0.07* 0.92* 0.39),(-0.07* 0.89* 0.45),(276.82* 144.46* 210.08)
Up,3,27.82416,(0.08* 0.98* -0.17),(0.10* 0.79* -0.61),-4.071888,(-0.06* 0.92* 0.39),(-0.08* 0.89* 0.46),(276.82* 144.46* 210.08)
Left,1,73.62594,(0.05* 0.99* -0.10),(-0.94* 0.32* -0.11),-15.64906,(-0.07* 0.92* 0.39),(-0.31* 0.82* 0.48),(276.82* 144.46* 210.08)
Left,2,71.02288,(0.08* 0.99* -0.15),(-0.92* 0.38* -0.12),-10.90613,(-0.14* 0.89* 0.44),(-0.32* 0.82* 0.48),(276.82* 144.46* 210.08)
Left,3,73.93774,(0.07* 0.99* -0.12),(-0.94* 0.33* -0.10),-10.57012,(-0.16* 0.88* 0.45),(-0.33* 0.81* 0.49),(276.82* 144.46* 210.08)
Down,1,-19.25677,(0.08* 0.99* -0.14),(0.03* 0.98* 0.20),-0.3663747,(-0.15* 0.89* 0.44),(-0.16* 0.88* 0.44),(276.82* 144.46* 210.08)
Down,2,-19.26055,(0.07* 0.99* -0.07),(0.03* 0.97* 0.26),0.742568,(-0.15* 0.88* 0.45),(-0.14* 0.89* 0.44),(276.82* 144.46* 210.08)
Down,3,-20.33414,(0.08* 0.99* -0.07),(0.03* 0.96* 0.28),-1.157244,(-0.14* 0.88* 0.46),(-0.14* 0.89* 0.44),(276.82* 144.46* 210.08)
