Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Up,1,-43.9721,(0.02* -0.01* 1.00),(0.00* 0.69* 0.72),1.745067,(0.11* 0.99* 0.07),(0.12* 0.99* 0.05),(1.02* 0.56* 0.75)
Up,2,-40.98561,(0.02* -0.01* 1.00),(0.00* 0.65* 0.76),1.467805,(0.12* 0.99* 0.07),(0.12* 0.99* 0.05),(1.02* 0.56* 0.75)
Up,3,-45.69015,(0.01* -0.03* 1.00),(0.00* 0.70* 0.72),1.948027,(0.12* 0.99* 0.08),(0.13* 0.99* 0.05),(1.02* 0.56* 0.75)
Left,1,-75.99142,(0.02* 0.00* 1.00),(-0.97* -0.01* 0.26),-14.87064,(0.12* 0.99* 0.07),(-0.14* 0.99* 0.09),(1.02* 0.56* 0.75)
Left,2,-77.98996,(0.01* -0.03* 1.00),(-0.97* -0.01* 0.22),-15.18858,(0.11* 0.99* 0.07),(-0.15* 0.98* 0.12),(1.02* 0.56* 0.75)
Left,3,-83.4782,(0.03* 0.00* 1.00),(-0.99* -0.01* 0.14),-16.34202,(0.12* 0.99* 0.07),(-0.15* 0.98* 0.12),(1.02* 0.56* 0.75)
Down,1,46.75089,(0.02* -0.02* 1.00),(0.02* -0.74* 0.67),-1.300105,(0.09* 0.99* 0.09),(0.09* 0.99* 0.11),(1.02* 0.56* 0.75)
Down,2,43.28896,(0.02* -0.04* 1.00),(0.02* -0.72* 0.70),-0.8961296,(0.10* 0.99* 0.08),(0.09* 0.99* 0.09),(1.02* 0.56* 0.75)
Down,3,52.14668,(0.02* -0.02* 1.00),(0.02* -0.80* 0.60),-1.944407,(0.10* 0.99* 0.10),(0.08* 0.99* 0.12),(1.02* 0.56* 0.75)
Right,1,80.06409,(0.00* -0.03* 1.00),(0.98* 0.02* 0.18),14.72403,(0.11* 0.99* 0.09),(0.36* 0.93* 0.10),(1.02* 0.56* 0.75)
Right,2,75.97359,(0.00* -0.01* 1.00),(0.97* 0.02* 0.24),9.425315,(0.16* 0.98* 0.10),(0.32* 0.94* 0.09),(1.02* 0.56* 0.75)
Right,3,74.27161,(0.00* -0.03* 1.00),(0.96* 0.02* 0.27),11.22918,(0.14* 0.99* 0.10),(0.33* 0.94* 0.10),(1.02* 0.56* 0.75)
