Direction,tCount,MaxViewingRange,HeadStartVector,HeadEndVector,MaxBodyRange,BodyStartVector,BodyEndVector,StartRotation
Up,1,0,(0.05* 0.18* 0.98),(0.05* 0.18* 0.98),-0.04423466,(-0.08* 0.99* -0.10),(-0.08* 0.99* -0.10),(349.77* 2.70* 8.40)
Up,2,-56.85704,(0.04* 0.20* 0.98),(-0.11* 0.92* 0.38),10.2511,(-0.07* 0.99* -0.10),(-0.05* 1.00* 0.07),(349.77* 2.70* 8.40)
Up,3,-59.67828,(0.04* 0.23* 0.97),(-0.12* 0.95* 0.30),10.91151,(-0.06* 0.99* -0.10),(-0.05* 0.99* 0.09),(349.77* 2.70* 8.40)
Left,1,-4.581291,(0.04* 0.22* 0.97),(0.01* 0.15* 0.99),-0.6071628,(-0.07* 0.99* -0.07),(-0.08* 0.99* -0.08),(349.77* 2.70* 8.40)
Left,2,-83.71297,(0.04* 0.19* 0.98),(-0.98* -0.11* 0.17),5.265257,(-0.13* 0.99* -0.07),(-0.20* 0.98* -0.01),(349.77* 2.70* 8.40)
Left,3,-86.36857,(0.02* 0.20* 0.98),(-0.99* -0.12* 0.11),6.007042,(-0.14* 0.99* -0.06),(-0.20* 0.98* 0.02),(349.77* 2.70* 8.40)
Down,1,62.07016,(0.02* 0.19* 0.98),(0.15* -0.77* 0.62),-0.8397673,(-0.09* 0.99* -0.11),(-0.08* 0.99* -0.10),(349.77* 2.70* 8.40)
Down,2,71.72087,(0.03* 0.18* 0.98),(0.14* -0.87* 0.48),7.211126,(-0.09* 0.99* -0.14),(-0.08* 1.00* -0.01),(349.77* 2.70* 8.40)
Down,3,70.58701,(0.04* 0.20* 0.98),(0.16* -0.85* 0.51),2.911075,(-0.09* 0.99* -0.07),(-0.08* 1.00* -0.02),(349.77* 2.70* 8.40)
Right,1,1.040611,(0.04* 0.20* 0.98),(0.06* 0.19* 0.98),-0.1219466,(-0.08* 0.99* -0.10),(-0.08* 0.99* -0.10),(349.77* 2.70* 8.40)
